Model Name,Accuracy Name,Metric Name,Accuracy Value,Training Date
RandomForestRegressor,MAE,jvm_gc_pause,478.01%,2024-03-11
RandomForestRegressor,R2,jvm_gc_pause,1.00%,2024-03-11
RandomForestRegressor,Explained Variance,jvm_gc_pause,1.00%,2024-03-11
SVR,MSE,jvm_gc_pause,53480906954.75%,2024-03-11
SVR,MAE,jvm_gc_pause,78694.23%,2024-03-11
SVR,R2,jvm_gc_pause,0.22%,2024-03-11
SVR,Explained Variance,jvm_gc_pause,0.30%,2024-03-11
GradientBoostingRegressor,MSE,jvm_memory_committed,2156410234766125.50%,2024-03-05
GradientBoostingRegressor,MAE,jvm_memory_committed,3972258.42%,2024-03-05
GradientBoostingRegressor,R2,jvm_memory_committed,0.99%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_memory_committed,0.99%,2024-03-05
RandomForestRegressor,MSE,jvm_memory_committed,493711139546387.88%,2024-03-11
RandomForestRegressor,MAE,jvm_memory_committed,3810783.64%,2024-03-11
RandomForestRegressor,R2,jvm_memory_committed,1.00%,2024-03-11
RandomForestRegressor,Explained Variance,jvm_memory_committed,1.00%,2024-03-11
SVR,MSE,jvm_memory_committed,347730103899539520.00%,2024-03-11
SVR,MAE,jvm_memory_committed,465072282.19%,2024-03-11
SVR,R2,jvm_memory_committed,0.00%,2024-03-11
SVR,Explained Variance,jvm_memory_committed,0.00%,2024-03-11
GradientBoostingRegressor,MSE,jvm_memory_usage_after_gc,0.00%,2024-03-05
GradientBoostingRegressor,MAE,jvm_memory_usage_after_gc,0.00%,2024-03-05
GradientBoostingRegressor,R2,jvm_memory_usage_after_gc,0.96%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_memory_usage_after_gc,0.96%,2024-03-05
RandomForestRegressor,MSE,jvm_memory_usage_after_gc,0.00%,2024-03-05
RandomForestRegressor,MAE,jvm_memory_usage_after_gc,0.00%,2024-03-05
RandomForestRegressor,R2,jvm_memory_usage_after_gc,0.96%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_memory_usage_after_gc,0.96%,2024-03-05
SVR,MSE,jvm_memory_usage_after_gc,0.01%,2024-03-05
SVR,MAE,jvm_memory_usage_after_gc,0.07%,2024-03-05
SVR,R2,jvm_memory_usage_after_gc,0.56%,2024-03-05
SVR,Explained Variance,jvm_memory_usage_after_gc,0.58%,2024-03-05
