Model Name,Accuracy Name,Metric Name,Accuracy Value,Training Date
GradientBoostingRegressor,MAE,system_load_average_1m,1.42%,2024-03-11
GradientBoostingRegressor,R2,system_load_average_1m,0.83%,2024-03-11
GradientBoostingRegressor,Explained Variance,system_load_average_1m,0.83%,2024-03-11
RandomForestRegressor,MSE,system_cpu_usage,0.00%,2024-03-11
RandomForestRegressor,MAE,system_cpu_usage,0.01%,2024-03-11
RandomForestRegressor,R2,system_cpu_usage,0.96%,2024-03-11
RandomForestRegressor,Explained Variance,system_cpu_usage,0.96%,2024-03-11
RandomForestRegressor,MSE,system_load_average_1m,4.83%,2024-03-11
RandomForestRegressor,MAE,system_load_average_1m,1.42%,2024-03-11
RandomForestRegressor,R2,system_load_average_1m,0.83%,2024-03-11
RandomForestRegressor,Explained Variance,system_load_average_1m,0.83%,2024-03-11
RandomForestRegressor,MSE,http_server_requests,9216410837682570.00%,2024-03-11
RandomForestRegressor,MAE,http_server_requests,20522992.72%,2024-03-11
RandomForestRegressor,R2,http_server_requests,0.92%,2024-03-11
RandomForestRegressor,Explained Variance,http_server_requests,0.92%,2024-03-11
