metric_id,name,description,baseUnit,statistic,value,tags
1863,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1863,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1863,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1928,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1928,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1928,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1993,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1993,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1993,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2058,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2058,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2058,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2123,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2123,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2123,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2188,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2188,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2188,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2253,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2253,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2253,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2318,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2318,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2318,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.002,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2383,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2383,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2383,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2448,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2448,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2448,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2513,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2513,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2513,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2578,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2578,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2578,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2643,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2643,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2643,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2708,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2708,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2708,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2773,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2773,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2773,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2838,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2838,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2838,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2903,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
