metric_id,name,description,baseUnit,statistic,value,tags
936,http.server.requests,,seconds,MAX,0.000768974,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
1001,http.server.requests,,seconds,COUNT,55525.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
1001,http.server.requests,,seconds,TOTAL_TIME,102.156554412,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
1001,http.server.requests,,seconds,MAX,0.000574095,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
1066,http.server.requests,,seconds,COUNT,55635.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
1066,http.server.requests,,seconds,TOTAL_TIME,102.20408870600001,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
1066,http.server.requests,,seconds,MAX,0.000835175,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
1131,http.server.requests,,seconds,COUNT,55745.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
1131,http.server.requests,,seconds,TOTAL_TIME,102.25081345900001,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
1131,http.server.requests,,seconds,MAX,0.000811469,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
