metric_id,name,description,baseUnit,statistic,value,tags
3751,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
3816,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
3881,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
3946,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4011,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: nonheap, heap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4076,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4141,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4206,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4271,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4336,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4401,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4466,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4531,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4596,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4661,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4726,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
4791,jvm.memory.max,The maximum amount of memory in bytes that can be used for memory management,bytes,VALUE,5494538237.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, CodeHeap 'non-profiled nmethods', G1 Survivor Space, Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
