metric_id,name,description,baseUnit,statistic,value,tags
3082,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3082,http.server.requests.active,,seconds,DURATION,0.000220969,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3147,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3147,http.server.requests.active,,seconds,DURATION,0.000213186,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3212,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3212,http.server.requests.active,,seconds,DURATION,0.000224392,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3277,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3277,http.server.requests.active,,seconds,DURATION,0.000228671,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3342,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3342,http.server.requests.active,,seconds,DURATION,0.000193842,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3407,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3407,http.server.requests.active,,seconds,DURATION,0.000186109,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3472,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3472,http.server.requests.active,,seconds,DURATION,0.000219561,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3537,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3537,http.server.requests.active,,seconds,DURATION,0.000174495,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3602,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3602,http.server.requests.active,,seconds,DURATION,0.000178566,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3667,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3667,http.server.requests.active,,seconds,DURATION,0.000190372,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3732,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3732,http.server.requests.active,,seconds,DURATION,0.000171204,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3797,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3797,http.server.requests.active,,seconds,DURATION,0.000173501,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3862,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3862,http.server.requests.active,,seconds,DURATION,0.000171834,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3927,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3927,http.server.requests.active,,seconds,DURATION,0.000215348,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3992,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3992,http.server.requests.active,,seconds,DURATION,0.000239463,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4057,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4057,http.server.requests.active,,seconds,DURATION,0.000197656,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4122,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4122,http.server.requests.active,,seconds,DURATION,0.000214819,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4187,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4187,http.server.requests.active,,seconds,DURATION,0.000174082,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4252,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4252,http.server.requests.active,,seconds,DURATION,0.000152287,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4317,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4317,http.server.requests.active,,seconds,DURATION,0.000182929,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4382,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4382,http.server.requests.active,,seconds,DURATION,0.000153972,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4447,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4447,http.server.requests.active,,seconds,DURATION,0.000181049,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4512,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4512,http.server.requests.active,,seconds,DURATION,0.000207341,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4577,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4577,http.server.requests.active,,seconds,DURATION,0.000224369,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4642,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4642,http.server.requests.active,,seconds,DURATION,0.00015714,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4707,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4707,http.server.requests.active,,seconds,DURATION,0.000232556,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
